time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909945,509000,3274290,2236,2236,55270,55268,0,0,51749,51735,51688,51684,2,2,15073,41475,1286,51688,2236,58,20,20,0,0,15073,0,0,58,64,12,0,2022-07-04T07:45:45,580,9.67515,1656909954.194877,2022-07-04T07:45:54,563317,9.388616666666667,3604.635341176616
1656909955,518000,3284290,2245,2245,55720,55718,0,0,51942,51928,51881,51877,2,2,15128,41483,1534,51881,2245,58,20,20,0,0,15128,0,0,58,154,12,0,2022-07-04T07:45:55,590,9.841966666666668,1656909964.734437,2022-07-04T07:46:04,573317,9.555283333333334,3667.68447880943
1656909968,590000,3297290,2250,2250,56078,56076,0,0,52100,52086,52039,52035,2,2,15165,46071,1729,52039,2250,58,20,20,0,0,15165,0,0,58,147,12,0,2022-07-04T07:46:08,603,10.059833333333334,1656909978.386505,2022-07-04T07:46:18,586317,9.77195,3748.6444764274156
1656909992,545000,3321290,2261,2261,56715,56713,0,0,52379,52365,52318,52314,2,2,15233,34978,2076,52318,2261,58,20,20,0,0,15233,0,0,58,80,12,0,2022-07-04T07:46:32,627,10.459083333333332,1656909998.934649,2022-07-04T07:46:38,610317,10.17195,3889.8550958838505
1656910001,797000,3330290,2269,2269,57121,57119,0,0,52553,52539,52491,52487,2,2,15283,35910,2300,52491,2269,59,20,20,0,0,15283,0,0,59,59,12,0,2022-07-04T07:46:41,636,10.613283333333333,1656910012.565445,2022-07-04T07:46:52,619317,10.32195,3943.7095201100283
1656910026,747000,3355290,2285,2285,58030,58028,0,0,52947,52933,52885,52881,2,2,15388,32174,2799,52885,2285,59,20,20,0,0,15388,0,0,59,29,12,0,2022-07-04T07:47:06,661,11.029116666666665,1656910036.1253,2022-07-04T07:47:16,644317,10.738616666666667,4094.4302713358816
1656910044,783000,3373290,2297,2297,58641,58639,0,0,53213,53199,53151,53147,2,2,15455,25125,3132,53151,2297,59,20,20,0,0,15455,0,0,59,214,12,0,2022-07-04T07:47:24,679,11.329716666666666,1656910056.745105,2022-07-04T07:47:36,662317,11.038616666666666,4199.5171759813875
1656910061,274000,3389290,2304,2304,59132,59130,0,0,53427,53413,53365,53361,2,2,15511,26978,3402,53365,2304,59,20,20,0,0,15511,0,0,59,56,12,0,2022-07-04T07:47:41,696,11.604566666666667,1656910070.6248488,2022-07-04T07:47:50,678317,11.305283333333334,4294.773548436676
1656910085,322000,3413290,2321,2321,60194,60192,0,0,53886,53872,53823,53819,2,2,15638,35717,3988,53823,2321,60,20,20,0,0,15638,0,0,60,30,12,0,2022-07-04T07:48:05,720,12.005366666666667,1656910095.325132,2022-07-04T07:48:15,702317,11.705283333333334,4438.6725472559765
1656910097,261000,3425290,2331,2331,60732,60730,0,0,54119,54105,54056,54051,2,2,15700,40086,4283,54056,2331,60,20,20,0,0,15700,0,0,60,147,12,0,2022-07-04T07:48:17,732,12.20435,1656910106.0965369,2022-07-04T07:48:26,714317,11.905283333333333,4515.645277899623
1656910109,306000,3437290,2341,2341,61272,61270,0,0,54351,54337,54288,54284,2,2,15766,44442,4581,54288,2341,60,20,20,0,0,15766,0,0,60,251,12,0,2022-07-04T07:48:29,744,12.405100000000001,1656910119.895885,2022-07-04T07:48:39,726317,12.105283333333334,4592.437814812332
1656910122,195000,3450290,2350,2350,61827,61825,0,0,54590,54576,54527,54523,2,2,15834,50466,4888,54527,2350,60,20,20,0,0,15834,0,0,60,228,12,0,2022-07-04T07:48:42,757,12.619916666666667,1656910130.514992,2022-07-04T07:48:50,739317,12.32195,4676.535823464698
1656910127,936000,3456290,2354,2354,62091,62089,0,0,54704,54690,54641,54637,2,2,15866,53103,5034,54641,2354,60,20,20,0,0,15866,0,0,60,96,12,0,2022-07-04T07:48:47,762,12.7156,1656910140.406776,2022-07-04T07:49:00,745317,12.42195,4726.940487181418
1656910144,543000,3472290,2362,2362,62596,62594,0,0,54924,54910,54861,54857,2,2,15923,49184,5311,54861,2362,60,20,20,0,0,15923,0,0,60,63,12,0,2022-07-04T07:49:04,779,12.992383333333333,1656910153.915333,2022-07-04T07:49:13,761317,12.688616666666666,4793.283562695645
1656910168,721000,3496290,2373,2373,63250,63248,0,0,55210,55196,55147,55143,2,2,15994,43042,5668,55147,2373,60,20,20,0,0,15994,0,0,60,86,12,0,2022-07-04T07:49:28,803,13.39535,1656910178.3781679,2022-07-04T07:49:38,785317,13.088616666666667,4946.245283834153
1656910191,743000,3519290,2385,2385,64049,64047,0,0,55556,55542,55493,55489,2,2,16089,38911,6109,55493,2385,60,20,20,0,0,16089,0,0,60,143,12,0,2022-07-04T07:49:51,826,13.779050000000002,1656910198.1160529,2022-07-04T07:49:58,808317,13.47195,5090.47395404488
1656910202,732000,3530290,2394,2394,64552,64550,0,0,55774,55760,55711,55707,2,2,16147,39720,6385,55711,2394,60,20,20,0,0,16147,0,0,60,26,12,0,2022-07-04T07:50:02,837,13.9622,1656910212.554636,2022-07-04T07:50:12,819317,13.655283333333333,5156.319935455971
1656910215,653000,3543290,2405,2405,65140,65138,0,0,56027,56013,55964,55960,2,2,16218,40628,6709,55964,2405,60,20,20,0,0,16218,0,0,60,20,12,0,2022-07-04T07:50:15,850,14.17755,1656910222.445333,2022-07-04T07:50:22,832317,13.87195,5240.518838147243
1656910239,59000,3567290,2420,2420,460,458,0,0,56399,56385,56334,56330,2,2,16315,39397,7178,56334,2420,62,20,20,0,0,16315,0,0,62,174,12,0,2022-07-04T07:50:39,874,14.567649999999999,1656910247.303824,2022-07-04T07:50:47,856317,14.27195,5420.996904386285
1656910251,954000,3580290,2431,2431,1024,1022,0,0,56640,56626,56575,56571,2,2,16386,41666,7490,56575,2431,62,20,20,0,0,16386,0,0,62,238,12,0,2022-07-04T07:50:51,886,14.782566666666666,1656910261.073448,2022-07-04T07:51:01,869317,14.488616666666667,5485.310019491473
1656910262,827000,3591290,2440,2440,1504,1502,0,0,56845,56831,56780,56776,2,2,16447,43952,7756,56780,2440,62,20,20,0,0,16447,0,0,62,48,12,0,2022-07-04T07:51:02,897,14.963783333333334,1656910271.7833009,2022-07-04T07:51:11,880317,14.67195,5547.049641180411
1656910275,274000,3603290,2451,2451,2034,2032,0,0,57073,57059,57008,57004,2,2,16510,44546,8047,57008,2451,62,20,20,0,0,16510,0,0,62,225,12,0,2022-07-04T07:51:15,910,15.171233333333333,1656910284.933121,2022-07-04T07:51:24,892317,14.87195,5626.62531004549
