time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908557,271980,True,1905,2082,-22,12,-22,2022-07-04T07:22:37,1656908557.275012,2022-07-04T07:22:37
1656908557,882735,True,1906,2083,-21,11,-21,2022-07-04T07:22:37,1656908557.884293,2022-07-04T07:22:37
1656908558,455028,True,1907,2084,-26,12,-26,2022-07-04T07:22:38,1656908558.45667,2022-07-04T07:22:38
1656908559,121785,True,1908,2085,-43,11,-44,2022-07-04T07:22:39,1656908559.123341,2022-07-04T07:22:39
1656908559,690912,True,1909,2086,-22,12,-23,2022-07-04T07:22:39,1656908559.692531,2022-07-04T07:22:39
1656908563,410776,True,1910,2087,-19,12,-19,2022-07-04T07:22:43,1656908563.413611,2022-07-04T07:22:43
1656908564,71930,True,1911,2088,-20,11,-21,2022-07-04T07:22:44,1656908564.073459,2022-07-04T07:22:44
1656908564,622096,True,1912,2089,-20,11,-20,2022-07-04T07:22:44,1656908564.623653,2022-07-04T07:22:44
1656908565,200895,True,1913,2090,-21,11,-21,2022-07-04T07:22:45,1656908565.20243,2022-07-04T07:22:45
1656908565,750693,True,1914,2091,-20,11,-21,2022-07-04T07:22:45,1656908565.752261,2022-07-04T07:22:45
1656908566,330933,True,1915,2092,-21,12,-21,2022-07-04T07:22:46,1656908566.334292,2022-07-04T07:22:46
1656908566,891600,True,1916,2093,-20,13,-20,2022-07-04T07:22:46,1656908566.894489,2022-07-04T07:22:46
1656908567,482541,True,1917,2094,-19,12,-20,2022-07-04T07:22:47,1656908567.485479,2022-07-04T07:22:47
1656908568,172371,True,1918,2095,-20,11,-21,2022-07-04T07:22:48,1656908568.176062,2022-07-04T07:22:48
1656908571,780404,True,1919,2096,-30,12,-31,2022-07-04T07:22:51,1656908571.781983,2022-07-04T07:22:51
1656908572,422013,True,1920,2097,-35,12,-35,2022-07-04T07:22:52,1656908572.423567,2022-07-04T07:22:52
1656908573,81906,True,1921,2098,-37,11,-38,2022-07-04T07:22:53,1656908573.083465,2022-07-04T07:22:53
1656908573,610973,True,1922,2099,-28,13,-29,2022-07-04T07:22:53,1656908573.614948,2022-07-04T07:22:53
1656908574,671433,True,1923,2101,-35,12,-36,2022-07-04T07:22:54,1656908574.673075,2022-07-04T07:22:54
1656908575,220969,True,1924,2102,-38,12,-39,2022-07-04T07:22:55,1656908575.222486,2022-07-04T07:22:55
1656908575,770685,True,1925,2103,-30,12,-30,2022-07-04T07:22:55,1656908575.772212,2022-07-04T07:22:55
1656908576,440509,True,1926,2104,-22,12,-22,2022-07-04T07:22:56,1656908576.443038,2022-07-04T07:22:56
1656908580,61305,True,1927,2105,-19,11,-21,2022-07-04T07:23:00,1656908580.062817,2022-07-04T07:23:00
