time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909308,955600,2654441,0,2,1122784,2,1132839,2,1122784,2,1132791,29,13,0,2022-07-04T07:35:08,-57,-0.9340733333333334,-56532,-0.9421999999999999,98.53783420782797,100146.85860413332
1656909310,769600,2656255,0,2,1122784,2,1132839,2,1122784,2,1132791,37,13,0,2022-07-04T07:35:10,-55,-0.9038400000000001,-54718,-0.9119666666666667,97.95825400705093,100153.75785403576
1656909312,835600,2658322,0,2,1122784,2,1132839,2,1122784,2,1132791,46,13,0,2022-07-04T07:35:12,-53,-0.8694066666666667,-52651,-0.8775166666666667,98.10303037626979,100152.03450564035
1656909314,80600,2659412,0,2,1122784,2,1132839,2,1122784,2,1132791,56,13,0,2022-07-04T07:35:14,-51,-0.8486566666666667,-51561,-0.85935,97.73281677733077,100156.4414893617
1656909315,208600,2660540,0,2,1122784,2,1132839,2,1122784,2,1132791,64,13,0,2022-07-04T07:35:15,-50,-0.8298566666666667,-50433,-0.84055,97.5443713837649,100158.68469294226
1656909316,567600,2661900,0,2,1122784,2,1132839,2,1122784,2,1132791,73,13,0,2022-07-04T07:35:16,-49,-0.8072066666666667,-49073,-0.8178833333333333,97.61388817612006,100157.85714285714
1656909318,868600,2664200,0,2,1122784,2,1132839,2,1122784,2,1132791,82,13,0,2022-07-04T07:35:18,-47,-0.7688566666666666,-46773,-0.7795500000000001,98.52595520019531,100147.0
1656909320,854600,2666186,0,2,1122784,2,1132839,2,1122784,2,1132791,90,13,0,2022-07-04T07:35:20,-45,-0.7357566666666667,-44787,-0.74645,98.362065713363,100148.95092884683
1656909323,450600,2668782,0,2,1122784,2,1132839,2,1122784,2,1132791,109,13,0,2022-07-04T07:35:23,-42,-0.6924899999999999,-42191,-0.7031833333333334,97.5827175038982,100158.22823098075
1656909324,541600,2669873,0,2,1122784,2,1132839,2,1122784,2,1132791,117,13,0,2022-07-04T07:35:24,-41,-0.6743066666666666,-41100,-0.685,97.70332262025657,100156.7925531915
1656909326,125400,2671582,0,2,1122784,2,1132839,2,1122784,2,1132791,126,13,0,2022-07-04T07:35:26,-39,-0.64791,-39391,-0.6565166666666666,98.76381230181573,100144.16861265793
1656909327,903700,2673579,0,2,1122784,2,1132839,2,1122784,2,1132791,135,13,0,2022-07-04T07:35:27,-38,-0.6182716666666667,-37394,-0.6232333333333333,98.54062271118164,100146.82541436463
1656909329,750700,2675426,0,2,1122784,2,1132839,2,1122784,2,1132791,144,13,0,2022-07-04T07:35:29,-36,-0.5874883333333333,-35547,-0.5924499999999999,98.0080155705107,100153.16552333084
1656909331,186000,2676518,0,2,1122784,2,1132839,2,1122784,2,1132791,153,13,0,2022-07-04T07:35:31,-34,-0.5635666666666667,-34455,-0.5742499999999999,97.66969391437945,100157.1928687196
