time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656915292,196500,8637494,21.28093719482422,103,13,0,2022-07-04T09:14:52,5927,98.78660833333333,5926521,98.77534999999999,5435.999635512143,50977.833363886355
1656915293,287500,8638585,21.28093719482422,114,13,0,2022-07-04T09:14:53,5928,98.80479166666667,5927612,98.79353333333333,5426.471312872363,51043.38386801101
1656915294,378500,8639676,21.266887664794922,122,13,0,2022-07-04T09:14:54,5929,98.822975,5928703,98.81171666666667,5417.145016398377,51107.608615948644
1656915295,469500,8640767,21.266887664794922,130,13,0,2022-07-04T09:14:55,5930,98.84115833333334,5929794,98.8299,5407.813947120616,51171.93437213567
1656915296,560500,8641858,21.28093719482422,140,13,0,2022-07-04T09:14:56,5931,98.85934166666667,5930885,98.84808333333334,5398.920256411049,51233.31140833986
1656915297,831500,8643129,21.28093719482422,148,13,0,2022-07-04T09:14:57,5932,98.880525,5932156,98.86926666666666,5388.9064112088945,51302.48487626032
1656915298,922500,8644220,21.28093719482422,157,13,0,2022-07-04T09:14:58,5933,98.89870833333333,5933247,98.88745,5380.262158695438,51362.26012832261
1656915300,13500,8645311,21.25284194946289,167,13,0,2022-07-04T09:15:00,5935,98.91689166666667,5934338,98.90563333333333,5371.543844791903,51422.60861594868
1656915301,104500,8646402,21.266887664794922,175,13,0,2022-07-04T09:15:01,5936,98.93507500000001,5935429,98.92381666666667,5362.578220598662,51484.72350081038
1656915302,375500,8647673,21.25284194946289,183,13,0,2022-07-04T09:15:02,5937,98.95625833333334,5936700,98.945,5353.056433711494,51550.76329787232
1656915303,466500,8648764,21.25284194946289,193,13,0,2022-07-04T09:15:03,5938,98.97444166666668,5937791,98.96318333333333,5342.7545786549,51622.28285976171
1656915304,557500,8649855,21.266887664794922,202,13,0,2022-07-04T09:15:04,5939,98.992625,5938882,98.98136666666666,5333.164282786003,51688.93437213567
1656915305,648500,8650946,21.266887664794922,210,13,0,2022-07-04T09:15:05,5940,99.01080833333334,5939973,98.99955,5324.446534411519,51749.58588450964
1656915306,739500,8652037,21.238792419433594,220,13,0,2022-07-04T09:15:06,5941,99.02899166666666,5941064,99.01773333333334,5316.323528378849,51806.149526813846
1656915308,7500,8653305,21.266887664794922,228,13,0,2022-07-04T09:15:08,5943,99.050125,5942332,99.03886666666668,5306.487299406368,51874.70962419796
1656915309,98500,8654396,21.25284194946289,236,13,0,2022-07-04T09:15:09,5944,99.06830833333333,5943423,99.05704999999999,5297.744645823784,51935.709624197996
